address,distributed_amount
0x7a89f1838933DE0bA50aF0e916050977ceACAC9e,3399503.72
0x0A004D357f586B39A71522E3f7B97799694b4E69,564894.21
0xaa4182224053076f92b453c96ec16bab00bf6cc6,482444.26
0xc250b22d15e43d95fbe27b12d98b6098f8493eac,416993.93
0x1309c007567a71b393094c21e70bd2647356a352,394554.78
0xa86e412109f77c45a3bc1c5870b880492fb86a14,336082.03
0xa0b7b5164f5301d1d74b8a0b905ecc8c219345bf,236004.20
0xc14eaa8284feff79edc118e06cadbf3813a7e555,215452.22
0xebb1761ad43034fd7faa64d84e5bbd8cb5c40b68,193328.51
0xc29ae8656a99432f6fb6ac9921177dfa29ac1d95,178519.11
0x5939783dbf3e9f453a69bc9ddc1e492efac1fbcb,161665.63
0x81fcd9719e3ffd4be7393c38364bf738da736e42,157609.26
